Date,series,OPEN,HIGH,LOW,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
23-Jun-22,EQ,690.2,706,687,686.6,699.95,699.15,699.36,867,616.25,"1,49,60,412","10,46,26,47,701.30","1,98,477"
22-Jun-22,EQ,694.25,698.9,685.1,696.1,687.2,686.6,690.3,867,616.25,"68,38,249","4,72,04,21,863.45","1,16,347"
21-Jun-22,EQ,690.55,708,688.6,685.95,695.5,696.1,698.88,867,616.25,"1,33,19,648","9,30,88,06,644.95","2,12,532"
20-Jun-22,EQ,686,687.8,677.6,686.85,685.7,685.95,683.78,867,616.25,"1,09,81,042","7,50,85,95,408.60","1,45,020"
17-Jun-22,EQ,671.25,692.65,669.95,678.5,689,686.85,682.87,867,616.25,"1,63,35,613","11,15,50,53,062.50","2,30,515"
16-Jun-22,EQ,700,700.05,676.3,687.25,678,678.5,688.36,867,616.25,"1,32,37,239","9,11,19,65,722.85","1,83,912"
15-Jun-22,EQ,687.5,696.35,686.1,685.5,688,687.25,691.05,867,616.25,"91,99,591","6,35,73,44,112.65","1,37,784"
14-Jun-22,EQ,682.4,694.65,680.65,688,684.95,685.5,688.18,867,616.25,"1,33,48,598","9,18,62,13,617.45","2,22,689"
13-Jun-22,EQ,702.25,702.3,682.1,720,688,688,688.3,867,616.25,"1,66,22,521","11,44,13,47,875.85","3,33,111"
10-Jun-22,EQ,724.75,728.3,718,732.75,720.2,720,722.41,867,616.25,"79,90,818","5,77,26,16,113.00","1,46,181"
09-Jun-22,EQ,725,734.1,722.15,729.5,732.25,732.75,728.7,867,616.25,"74,44,368","5,42,46,87,221.10","1,15,608"
08-Jun-22,EQ,736.6,741,726.45,735.25,727.7,729.5,733.36,867,616.25,"93,69,224","6,87,10,44,601.80","1,50,198"
07-Jun-22,EQ,741,742.95,732.35,746.75,735,735.25,737.02,867,616.25,"99,38,912","7,32,51,40,864.70","1,26,022"
06-Jun-22,EQ,740.2,750.95,739.6,744.3,746.75,746.75,746.9,867,616.25,"91,07,831","6,80,26,72,801.90","1,28,668"
03-Jun-22,EQ,756.15,757,741.2,749.75,744.95,744.3,750.04,867,616.25,"85,63,791","6,42,32,25,748.15","1,12,182"
02-Jun-22,EQ,751.05,751.75,743.2,752.65,750.9,749.75,747.47,867,616.25,"1,09,49,759","8,18,46,21,800.05","1,42,491"
01-Jun-22,EQ,748,755.6,744.2,752.85,752.95,752.65,751,867,616.25,"1,01,02,092","7,58,66,55,389.80","1,81,213"
